# time	tot_poly_A	free_poly_A	tot_poly_B	free_poly_B
0.000000e+00 6.000000e+02 6.000000e+02 6.000000e+02 6.000000e+02
5.000000e-03 6.000000e+02 2.350000e+02 6.000000e+02 2.396000e+02
1.000000e-02 6.000000e+02 1.572000e+02 6.000000e+02 1.611000e+02
1.500000e-02 6.000000e+02 1.380000e+02 6.000000e+02 1.371000e+02
2.000000e-02 6.000000e+02 1.309000e+02 6.000000e+02 1.269000e+02
2.500000e-02 6.000000e+02 1.274000e+02 6.000000e+02 1.241000e+02
3.000000e-02 6.000000e+02 1.329000e+02 6.000000e+02 1.324000e+02
3.500000e-02 6.000000e+02 1.286000e+02 6.000000e+02 1.271000e+02
4.000000e-02 6.000000e+02 1.338000e+02 6.000000e+02 1.330000e+02
4.500000e-02 6.000000e+02 1.305000e+02 6.000000e+02 1.354000e+02
5.000000e-02 6.000000e+02 1.270000e+02 6.000000e+02 1.323000e+02
5.500000e-02 6.000000e+02 1.265000e+02 6.000000e+02 1.325000e+02
6.000000e-02 6.000000e+02 1.244000e+02 6.000000e+02 1.244000e+02
6.500000e-02 6.000000e+02 1.318000e+02 6.000000e+02 1.283000e+02
7.000000e-02 6.000000e+02 1.292000e+02 6.000000e+02 1.283000e+02
7.500000e-02 6.000000e+02 1.276000e+02 6.000000e+02 1.274000e+02
8.000000e-02 6.000000e+02 1.271000e+02 6.000000e+02 1.313000e+02
8.500000e-02 6.000000e+02 1.297000e+02 6.000000e+02 1.287000e+02
9.000000e-02 6.000000e+02 1.257000e+02 6.000000e+02 1.271000e+02
9.500000e-02 6.000000e+02 1.273000e+02 6.000000e+02 1.243000e+02
1.000000e-01 6.000000e+02 1.257000e+02 6.000000e+02 1.270000e+02
1.050000e-01 6.000000e+02 1.320000e+02 6.000000e+02 1.286000e+02
1.100000e-01 6.000000e+02 1.310000e+02 6.000000e+02 1.331000e+02
1.150000e-01 6.000000e+02 1.287000e+02 6.000000e+02 1.305000e+02
1.200000e-01 6.000000e+02 1.268000e+02 6.000000e+02 1.320000e+02
1.250000e-01 6.000000e+02 1.297000e+02 6.000000e+02 1.278000e+02
1.300000e-01 6.000000e+02 1.368000e+02 6.000000e+02 1.339000e+02
1.350000e-01 6.000000e+02 1.336000e+02 6.000000e+02 1.321000e+02
1.400000e-01 6.000000e+02 1.294000e+02 6.000000e+02 1.317000e+02
1.450000e-01 6.000000e+02 1.261000e+02 6.000000e+02 1.252000e+02
1.500000e-01 6.000000e+02 1.273000e+02 6.000000e+02 1.272000e+02
1.550000e-01 6.000000e+02 1.324000e+02 6.000000e+02 1.236000e+02
1.600000e-01 6.000000e+02 1.339000e+02 6.000000e+02 1.290000e+02
1.650000e-01 6.000000e+02 1.289000e+02 6.000000e+02 1.240000e+02
1.700000e-01 6.000000e+02 1.308000e+02 6.000000e+02 1.282000e+02
1.750000e-01 6.000000e+02 1.309000e+02 6.000000e+02 1.327000e+02
1.800000e-01 6.000000e+02 1.310000e+02 6.000000e+02 1.311000e+02
1.850000e-01 6.000000e+02 1.342000e+02 6.000000e+02 1.341000e+02
1.900000e-01 6.000000e+02 1.326000e+02 6.000000e+02 1.324000e+02
1.950000e-01 6.000000e+02 1.310000e+02 6.000000e+02 1.255000e+02
2.000000e-01 6.000000e+02 1.256000e+02 6.000000e+02 1.240000e+02
2.050000e-01 6.000000e+02 1.258000e+02 6.000000e+02 1.313000e+02
2.100000e-01 6.000000e+02 1.342000e+02 6.000000e+02 1.275000e+02
2.150000e-01 6.000000e+02 1.342000e+02 6.000000e+02 1.277000e+02
2.200000e-01 6.000000e+02 1.287000e+02 6.000000e+02 1.293000e+02
2.250000e-01 6.000000e+02 1.281000e+02 6.000000e+02 1.296000e+02
2.300000e-01 6.000000e+02 1.291000e+02 6.000000e+02 1.288000e+02
2.350000e-01 6.000000e+02 1.289000e+02 6.000000e+02 1.284000e+02
2.400000e-01 6.000000e+02 1.267000e+02 6.000000e+02 1.270000e+02
2.450000e-01 6.000000e+02 1.308000e+02 6.000000e+02 1.271000e+02
2.500000e-01 6.000000e+02 1.288000e+02 6.000000e+02 1.283000e+02
2.550000e-01 6.000000e+02 1.275000e+02 6.000000e+02 1.291000e+02
2.600000e-01 6.000000e+02 1.295000e+02 6.000000e+02 1.309000e+02
2.650000e-01 6.000000e+02 1.321000e+02 6.000000e+02 1.257000e+02
2.700000e-01 6.000000e+02 1.288000e+02 6.000000e+02 1.214000e+02
2.750000e-01 6.000000e+02 1.343000e+02 6.000000e+02 1.303000e+02
2.800000e-01 6.000000e+02 1.317000e+02 6.000000e+02 1.252000e+02
2.850000e-01 6.000000e+02 1.302000e+02 6.000000e+02 1.260000e+02
2.900000e-01 6.000000e+02 1.281000e+02 6.000000e+02 1.253000e+02
2.950000e-01 6.000000e+02 1.315000e+02 6.000000e+02 1.295000e+02
3.000000e-01 6.000000e+02 1.329000e+02 6.000000e+02 1.309000e+02
3.050000e-01 6.000000e+02 1.311000e+02 6.000000e+02 1.326000e+02
3.100000e-01 6.000000e+02 1.295000e+02 6.000000e+02 1.303000e+02
3.150000e-01 6.000000e+02 1.273000e+02 6.000000e+02 1.283000e+02
3.200000e-01 6.000000e+02 1.279000e+02 6.000000e+02 1.284000e+02
3.250000e-01 6.000000e+02 1.294000e+02 6.000000e+02 1.281000e+02
3.300000e-01 6.000000e+02 1.313000e+02 6.000000e+02 1.324000e+02
3.350000e-01 6.000000e+02 1.268000e+02 6.000000e+02 1.277000e+02
3.400000e-01 6.000000e+02 1.300000e+02 6.000000e+02 1.281000e+02
3.450000e-01 6.000000e+02 1.297000e+02 6.000000e+02 1.313000e+02
3.500000e-01 6.000000e+02 1.321000e+02 6.000000e+02 1.286000e+02
3.550000e-01 6.000000e+02 1.325000e+02 6.000000e+02 1.291000e+02
3.600000e-01 6.000000e+02 1.287000e+02 6.000000e+02 1.300000e+02
3.650000e-01 6.000000e+02 1.284000e+02 6.000000e+02 1.261000e+02
3.700000e-01 6.000000e+02 1.273000e+02 6.000000e+02 1.272000e+02
3.750000e-01 6.000000e+02 1.324000e+02 6.000000e+02 1.312000e+02
3.800000e-01 6.000000e+02 1.340000e+02 6.000000e+02 1.328000e+02
3.850000e-01 6.000000e+02 1.376000e+02 6.000000e+02 1.349000e+02
