# time	tot_B	free_B	tot_C	free_C	tot_A	free_A
0.000000e+00 6.000000e+02 6.000000e+02 3.000000e+02 3.000000e+02 2.000000e+02 2.000000e+02
2.500000e-03 6.000000e+02 4.262000e+02 3.000000e+02 1.623000e+02 2.000000e+02 1.798000e+02
5.000000e-03 6.000000e+02 3.296000e+02 3.000000e+02 1.013000e+02 2.000000e+02 1.649000e+02
7.500000e-03 6.000000e+02 2.779000e+02 3.000000e+02 7.610000e+01 2.000000e+02 1.533000e+02
1.000000e-02 6.000000e+02 2.504000e+02 3.000000e+02 6.230000e+01 2.000000e+02 1.512000e+02
1.250000e-02 6.000000e+02 2.363000e+02 3.000000e+02 5.710000e+01 2.000000e+02 1.461000e+02
1.500000e-02 6.000000e+02 2.203000e+02 3.000000e+02 5.140000e+01 2.000000e+02 1.419000e+02
1.750000e-02 6.000000e+02 2.135000e+02 3.000000e+02 4.910000e+01 2.000000e+02 1.420000e+02
2.000000e-02 6.000000e+02 2.061000e+02 3.000000e+02 4.510000e+01 2.000000e+02 1.380000e+02
2.250000e-02 6.000000e+02 2.050000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.356000e+02
2.500000e-02 6.000000e+02 2.077000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.365000e+02
2.750000e-02 6.000000e+02 2.084000e+02 3.000000e+02 4.550000e+01 2.000000e+02 1.318000e+02
3.000000e-02 6.000000e+02 2.020000e+02 3.000000e+02 4.620000e+01 2.000000e+02 1.322000e+02
3.250000e-02 6.000000e+02 2.009000e+02 3.000000e+02 4.570000e+01 2.000000e+02 1.327000e+02
3.500000e-02 6.000000e+02 2.021000e+02 3.000000e+02 4.510000e+01 2.000000e+02 1.347000e+02
3.750000e-02 6.000000e+02 2.062000e+02 3.000000e+02 4.590000e+01 2.000000e+02 1.339000e+02
4.000000e-02 6.000000e+02 2.065000e+02 3.000000e+02 4.450000e+01 2.000000e+02 1.350000e+02
4.250000e-02 6.000000e+02 2.072000e+02 3.000000e+02 4.670000e+01 2.000000e+02 1.337000e+02
4.500000e-02 6.000000e+02 2.018000e+02 3.000000e+02 4.470000e+01 2.000000e+02 1.330000e+02
4.750000e-02 6.000000e+02 2.029000e+02 3.000000e+02 4.670000e+01 2.000000e+02 1.351000e+02
5.000000e-02 6.000000e+02 2.041000e+02 3.000000e+02 4.680000e+01 2.000000e+02 1.344000e+02
5.250000e-02 6.000000e+02 2.038000e+02 3.000000e+02 4.740000e+01 2.000000e+02 1.318000e+02
5.500000e-02 6.000000e+02 2.068000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.324000e+02
5.750000e-02 6.000000e+02 2.089000e+02 3.000000e+02 4.710000e+01 2.000000e+02 1.299000e+02
6.000000e-02 6.000000e+02 2.053000e+02 3.000000e+02 4.780000e+01 2.000000e+02 1.283000e+02
6.250000e-02 6.000000e+02 1.984000e+02 3.000000e+02 4.580000e+01 2.000000e+02 1.280000e+02
6.500000e-02 6.000000e+02 1.951000e+02 3.000000e+02 4.650000e+01 2.000000e+02 1.275000e+02
6.750000e-02 6.000000e+02 1.973000e+02 3.000000e+02 4.630000e+01 2.000000e+02 1.296000e+02
7.000000e-02 6.000000e+02 1.982000e+02 3.000000e+02 4.630000e+01 2.000000e+02 1.295000e+02
7.250000e-02 6.000000e+02 2.057000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.331000e+02
7.500000e-02 6.000000e+02 2.036000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.348000e+02
7.750000e-02 6.000000e+02 1.979000e+02 3.000000e+02 4.140000e+01 2.000000e+02 1.329000e+02
8.000000e-02 6.000000e+02 1.972000e+02 3.000000e+02 4.050000e+01 2.000000e+02 1.356000e+02
8.250000e-02 6.000000e+02 1.961000e+02 3.000000e+02 4.120000e+01 2.000000e+02 1.351000e+02
