Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,30.8,30.700000000000003
0.1,38.400000000000006,39.2
0.15,39.0,40.2
0.2,42.400000000000006,43.7
0.25,43.800000000000004,46.400000000000006
0.3,45.5,46.400000000000006
0.35,47.6,48.0
0.4,47.0,46.7
0.45,44.1,43.2
0.5,48.6,48.1
0.55,50.300000000000004,46.800000000000004
0.6,51.900000000000006,50.900000000000006
0.65,56.2,52.0
0.7,57.300000000000004,56.900000000000006
0.75,56.7,57.400000000000006
0.8,56.6,56.0
0.85,57.300000000000004,56.7
0.9,61.1,59.800000000000004
0.95,61.6,62.0
1.0,59.300000000000004,60.1
1.05,51.900000000000006,47.900000000000006
1.1,46.6,47.5
1.15,51.900000000000006,48.400000000000006
1.2,48.1,46.300000000000004
1.25,47.7,46.6
1.3,50.6,50.300000000000004
1.35,53.900000000000006,52.5
1.4,54.7,58.1
1.45,56.1,58.7
1.5,62.900000000000006,63.6
1.55,65.5,62.900000000000006
1.6,59.5,60.7
1.65,60.400000000000006,64.2
1.7,65.60000000000001,67.0
1.75,54.0,53.300000000000004
1.8,56.7,57.7
1.85,53.300000000000004,54.6
1.9,56.1,56.2
1.95,65.10000000000001,65.10000000000001
2.0,57.7,59.0
2.05,59.300000000000004,59.7
2.1,59.900000000000006,54.5
2.15,57.5,60.800000000000004
2.2,59.0,57.900000000000006
2.25,65.2,64.5
2.3,55.900000000000006,56.900000000000006
2.35,56.2,59.0
2.4,63.300000000000004,60.800000000000004
2.45,54.1,56.400000000000006
2.5,57.1,61.7
2.55,61.1,58.6
2.6,56.900000000000006,56.400000000000006
2.65,60.300000000000004,63.7
2.7,60.2,58.5
2.75,61.7,60.5
2.8,62.6,62.7
2.85,58.2,58.2
2.9,60.1,64.7
2.95,62.2,66.0
3.0,60.300000000000004,63.2
3.05,57.6,55.2
3.1,55.5,53.6
3.15,48.7,49.900000000000006
3.2,48.300000000000004,49.400000000000006
3.25,54.900000000000006,54.1
3.3,47.400000000000006,49.5
3.35,50.0,51.7
3.4,43.300000000000004,43.800000000000004
3.45,51.800000000000004,48.7
3.5,48.400000000000006,50.400000000000006
3.55,54.300000000000004,56.1
3.6,54.400000000000006,56.300000000000004
3.65,54.7,52.5
3.7,60.2,60.2
3.75,55.400000000000006,58.7
3.8,60.800000000000004,58.5
3.85,60.0,57.5
3.9,52.0,57.1
3.95,52.2,52.900000000000006
4.0,54.1,55.300000000000004
4.05,54.800000000000004,53.300000000000004
4.1,64.60000000000001,61.0
4.15,56.400000000000006,56.400000000000006
4.2,55.6,55.5
4.25,47.900000000000006,47.900000000000006
4.3,49.6,47.7
4.35,54.800000000000004,55.300000000000004
4.4,53.6,55.800000000000004
4.45,53.0,53.800000000000004
4.5,55.6,53.6
4.55,52.6,53.0
4.6,56.900000000000006,56.400000000000006
4.65,57.800000000000004,54.5
4.7,56.300000000000004,57.400000000000006
4.75,56.1,53.1
4.8,56.2,57.1
4.85,48.900000000000006,50.2
4.9,43.400000000000006,48.0
4.95,44.400000000000006,44.300000000000004
5.0,49.5,48.5
5.05,46.7,47.2
5.1,45.900000000000006,49.0
5.15,52.0,50.400000000000006
5.2,50.400000000000006,52.5
5.25,50.300000000000004,50.1
5.3,55.2,52.800000000000004
5.35,52.0,55.900000000000006
5.4,50.0,50.400000000000006
5.45,56.7,53.800000000000004
5.5,59.300000000000004,61.0
5.55,64.0,63.800000000000004
5.6,62.300000000000004,59.2
5.65,65.3,66.60000000000001
5.7,70.5,68.8
5.75,69.7,71.2
5.8,78.30000000000001,78.30000000000001
5.85,63.900000000000006,63.2
5.9,61.900000000000006,65.8
5.95,64.5,64.2
6.0,58.400000000000006,61.400000000000006
6.05,55.7,56.0
6.1,57.900000000000006,57.5
6.15,51.400000000000006,52.400000000000006
6.2,55.800000000000004,58.400000000000006
6.25,57.800000000000004,62.1
6.3,63.0,59.5
6.35,62.1,60.1
6.4,60.0,59.1
6.45,57.2,57.5
6.5,54.6,52.400000000000006
6.55,57.800000000000004,56.5
6.6,62.0,60.300000000000004
6.65,57.2,60.1
6.7,56.300000000000004,53.2
6.75,51.7,50.7
6.8,49.300000000000004,48.7
6.85,60.2,56.6
6.9,53.800000000000004,53.400000000000006
6.95,48.0,49.900000000000006
7.0,52.5,51.7
7.05,49.900000000000006,49.7
7.1,49.2,47.7
7.15,46.6,49.2
7.2,47.0,47.2
7.25,59.6,58.800000000000004
7.3,61.6,58.900000000000006
7.35,63.900000000000006,60.0
7.4,61.6,62.5
7.45,65.10000000000001,64.9
7.5,62.300000000000004,61.2
7.55,59.0,59.0
7.6,60.400000000000006,60.6
7.65,62.300000000000004,60.400000000000006
7.7,60.0,57.300000000000004
7.75,60.400000000000006,56.6
7.8,54.300000000000004,51.900000000000006
7.85,55.6,51.6
7.9,56.1,57.1
7.95,64.7,63.1
8.0,64.2,61.900000000000006
8.05,64.8,63.7
8.1,63.0,62.300000000000004
8.15,54.800000000000004,51.900000000000006
8.2,48.0,53.2
8.25,58.7,53.1
8.3,55.900000000000006,59.400000000000006
8.35,57.1,54.6
