Time (s),Total A4 (uM),Total B4 (uM)
0.0,0.1,0.1
0.05,32.300000000000004,36.300000000000004
0.1,41.800000000000004,41.300000000000004
0.15,46.6,47.6
0.2,45.6,46.1
0.25,46.1,47.300000000000004
0.3,50.7,50.400000000000006
0.35,51.1,52.2
0.4,50.5,49.300000000000004
0.45,46.2,47.900000000000006
0.5,48.0,48.2
0.55,52.1,50.2
0.6,56.7,54.1
0.65,57.2,60.6
0.7,56.800000000000004,61.400000000000006
0.75,58.0,60.0
0.8,64.9,67.4
0.85,65.0,64.0
0.9,60.7,64.4
0.95,54.2,52.400000000000006
1.0,53.5,49.900000000000006
1.05,60.1,59.2
1.1,66.60000000000001,64.9
1.15,66.0,63.800000000000004
1.2,68.4,68.4
1.25,71.7,72.4
1.3,69.9,70.10000000000001
1.35,72.60000000000001,75.4
1.4,69.60000000000001,67.4
1.45,63.800000000000004,65.3
1.5,62.2,60.400000000000006
1.55,59.300000000000004,60.7
1.6,66.3,67.9
1.65,69.4,72.60000000000001
1.7,67.60000000000001,63.800000000000004
1.75,63.1,58.6
1.8,59.2,60.900000000000006
1.85,60.2,59.900000000000006
1.9,61.1,63.5
1.95,65.8,67.60000000000001
2.0,60.400000000000006,61.7
2.05,61.0,63.900000000000006
2.1,58.0,59.300000000000004
2.15,59.300000000000004,58.7
2.2,58.800000000000004,55.7
2.25,64.9,64.0
2.3,65.10000000000001,66.8
2.35,69.0,73.10000000000001
2.4,71.2,70.60000000000001
2.45,65.60000000000001,61.5
2.5,59.800000000000004,61.400000000000006
2.55,60.1,60.800000000000004
2.6,60.900000000000006,60.5
2.65,64.0,63.0
2.7,64.2,65.5
2.75,59.5,62.5
2.8,57.7,55.300000000000004
2.85,63.900000000000006,62.5
2.9,61.0,62.6
2.95,61.2,63.2
3.0,62.1,62.300000000000004
3.05,67.8,67.0
3.1,60.6,61.5
3.15,60.0,58.300000000000004
3.2,68.0,64.5
3.25,70.4,70.2
3.3,66.8,67.9
3.35,67.5,70.3
3.4,68.3,69.8
3.45,67.4,68.60000000000001
3.5,73.60000000000001,73.5
3.55,73.4,71.4
3.6,75.4,79.2
3.65,77.80000000000001,79.2
3.7,80.30000000000001,78.2
3.75,73.0,73.10000000000001
3.8,78.10000000000001,78.0
3.85,79.10000000000001,77.0
3.9,78.30000000000001,78.2
3.95,79.5,78.10000000000001
4.0,72.0,72.2
4.05,80.4,79.7
4.1,80.2,77.9
4.15,79.2,81.10000000000001
4.2,79.10000000000001,80.30000000000001
4.25,86.5,86.2
4.3,79.30000000000001,78.9
4.35,77.7,83.30000000000001
4.4,85.0,83.10000000000001
4.45,82.2,84.0
4.5,80.9,77.9
4.55,74.10000000000001,74.2
4.6,70.5,72.0
4.65,67.8,67.8
4.7,62.2,63.6
4.75,54.1,56.6
4.8,53.900000000000006,58.400000000000006
4.85,63.0,61.400000000000006
4.9,58.300000000000004,59.5
4.95,62.6,57.400000000000006
5.0,60.400000000000006,60.1
5.05,60.2,58.6
5.1,64.2,65.2
5.15,55.6,57.900000000000006
5.2,58.2,58.400000000000006
5.25,53.400000000000006,56.0
5.3,53.1,52.0
5.35,57.5,53.800000000000004
5.4,63.400000000000006,61.2
5.45,56.400000000000006,57.5
5.5,52.400000000000006,51.5
5.55,53.7,52.5
5.6,49.6,51.5
5.65,51.5,51.400000000000006
5.7,54.300000000000004,51.300000000000004
5.75,49.900000000000006,44.800000000000004
5.8,52.0,50.2
5.85,48.5,50.1
5.9,49.1,49.800000000000004
5.95,47.1,48.5
6.0,51.900000000000006,48.800000000000004
6.05,54.400000000000006,54.6
6.1,52.2,50.400000000000006
6.15,54.6,50.7
6.2,52.5,54.7
6.25,51.7,51.400000000000006
6.3,55.6,56.7
6.35,58.5,57.1
6.4,60.800000000000004,62.300000000000004
6.45,53.900000000000006,54.2
6.5,54.7,53.7
6.55,53.900000000000006,55.5
6.6,51.0,54.5
6.65,47.7,51.6
6.7,50.400000000000006,51.5
6.75,53.400000000000006,53.800000000000004
6.8,56.300000000000004,58.300000000000004
6.85,55.900000000000006,54.900000000000006
6.9,52.6,50.300000000000004
6.95,52.400000000000006,52.6
7.0,54.900000000000006,52.6
7.05,53.800000000000004,55.6
7.1,57.400000000000006,57.800000000000004
7.15,54.7,55.7
7.2,57.6,57.900000000000006
7.25,56.5,61.1
7.3,57.6,58.6
7.35,61.300000000000004,55.800000000000004
7.4,62.7,61.300000000000004
7.45,64.60000000000001,64.0
7.5,63.900000000000006,61.400000000000006
7.55,63.400000000000006,63.7
7.6,63.5,62.7
7.65,61.2,62.900000000000006
7.7,63.6,63.900000000000006
7.75,67.7,67.9
7.8,72.0,71.0
7.85,71.10000000000001,71.7
7.9,71.4,68.8
7.95,67.7,68.5
8.0,68.4,66.10000000000001
8.05,65.5,59.300000000000004
8.1,61.1,63.2
8.15,61.300000000000004,61.400000000000006
8.2,61.2,59.900000000000006
8.25,66.10000000000001,63.0
8.3,56.800000000000004,57.400000000000006
8.35,67.9,63.2
8.4,70.2,69.5
8.45,76.0,73.10000000000001
8.5,70.4,71.0
8.55,77.2,77.4
8.6,70.2,70.9
8.65,66.0,71.0
8.7,70.7,67.9
8.75,67.10000000000001,64.5
8.8,63.400000000000006,62.800000000000004
8.85,68.60000000000001,67.10000000000001
8.9,68.60000000000001,68.8
8.95,66.3,67.0
9.0,67.4,67.9
9.05,68.9,66.8
9.1,71.10000000000001,74.3
9.15,70.4,71.8
9.2,63.1,60.900000000000006
9.25,68.9,72.0
9.3,69.9,70.9
9.35,63.1,67.60000000000001
9.4,67.2,72.2
9.45,70.5,73.10000000000001
9.5,69.3,69.7
9.55,61.0,62.6
9.6,59.0,61.6
9.65,66.0,62.6
9.7,66.10000000000001,69.0
9.75,62.6,61.300000000000004
9.8,63.900000000000006,60.7
9.85,56.7,57.6
9.9,56.7,56.400000000000006
9.95,55.400000000000006,56.5
10.0,55.5,56.7
