Time (ms),Total A4 (uM),Total B4 (uM)
0.0,1.384,1.384
2.000009999996102,20.759999999999998,22.144
4.000009999984225,35.983999999999995,33.215999999999994
6.000009999972347,48.44,52.592
8.00000999996047,51.208,53.976
10.000009999948592,59.51199999999999,60.895999999999994
12.000009999936713,78.88799999999999,77.50399999999999
14.000009999924837,78.88799999999999,83.03999999999999
16.000009999978012,87.192,70.58399999999999
18.00000000031308,84.42399999999999,83.03999999999999
20.000000000648146,84.42399999999999,83.03999999999999
22.00000000098321,87.192,98.264
24.000000001318284,88.576,76.11999999999999
26.000000001653344,84.42399999999999,88.576
28.000000001988415,88.576,91.344
30.000000002323482,103.8,95.496
32.000000002658545,94.112,103.8
34.000000002993616,101.032,101.032
36.00000000332868,101.032,102.416
38.00000000366375,109.336,106.568
40.000000003998814,119.02399999999999,113.48799999999999
42.000000004333884,120.40799999999999,113.48799999999999
44.00000000466895,125.94399999999999,125.94399999999999
46.00000000500402,125.94399999999999,127.32799999999999
48.00000000533908,121.79199999999999,121.79199999999999
50.00000000567415,117.63999999999999,127.32799999999999
52.000000006009216,109.336,121.79199999999999
54.00000000634429,112.10399999999998,116.25599999999999
56.00000000667935,109.336,117.63999999999999
58.00000000701443,116.25599999999999,112.10399999999998
60.000000007349485,99.648,110.72
62.00000000768456,102.416,112.10399999999998
64.00000000697878,96.88,99.648
66.00000000592607,103.8,109.336
68.00000000487336,110.72,119.02399999999999
70.00000000382063,114.87199999999999,117.63999999999999
72.00000000276792,127.32799999999999,121.79199999999999
74.00000000171522,128.712,117.63999999999999
76.00000000066251,130.096,120.40799999999999
78.00000999960979,135.63199999999998,113.48799999999999
80.00000999855708,123.17599999999999,116.25599999999999
82.00000999750436,123.17599999999999,114.87199999999999
84.00000999645165,112.10399999999998,117.63999999999999
86.00000999539894,113.48799999999999,127.32799999999999
88.00000999434621,109.336,119.02399999999999
90.00000999329352,119.02399999999999,124.55999999999999
92.00000999224079,113.48799999999999,127.32799999999999
94.0000099911881,124.55999999999999,123.17599999999999
96.0000099901354,123.17599999999999,132.86399999999998
98.00000998908267,121.79199999999999,132.86399999999998
100.00000998802996,135.63199999999998,142.552
102.00000998697723,134.248,146.70399999999998
104.00000998592454,128.712,128.712
106.00000998487184,137.016,130.096
108.00000998381913,141.16799999999998,137.016
110.0000099827664,142.552,157.77599999999998
112.00000998171369,148.088,149.47199999999998
114.00000998066096,152.23999999999998,156.392
116.00000997960827,142.552,137.016
118.00000997855554,137.016,123.17599999999999
120.00000997750284,117.63999999999999,121.79199999999999
122.00000997645014,117.63999999999999,125.94399999999999
124.00000997539742,113.48799999999999,112.10399999999998
126.0000099743447,99.648,117.63999999999999
128.000009973292,112.10399999999998,119.02399999999999
130.0000099722393,123.17599999999999,132.86399999999998
132.00000997118659,131.48,125.94399999999999
134.00000997013387,124.55999999999999,128.712
136.00000996908116,124.55999999999999,128.712
138.00000996802845,123.17599999999999,125.94399999999999
140.00000996697574,116.25599999999999,116.25599999999999
142.00000996592303,120.40799999999999,123.17599999999999
144.00000996487032,114.87199999999999,121.79199999999999
146.0000099638176,109.336,113.48799999999999
148.0000099627649,120.40799999999999,117.63999999999999
150.00000996171215,139.784,134.248
152.00000996065947,141.16799999999998,150.856
154.00000995960676,134.248,143.93599999999998
156.00000995855405,135.63199999999998,146.70399999999998
158.00000995750133,145.32,152.23999999999998
160.00000995644862,148.088,148.088
162.0000099553959,159.16,152.23999999999998
164.0000099543432,157.77599999999998,156.392
166.0000099532905,149.47199999999998,164.696
168.00000995223775,153.624,153.624
170.00000995118506,132.86399999999998,143.93599999999998
172.00000995013235,128.712,134.248
174.00000994907967,138.39999999999998,121.79199999999999
176.00000994802693,132.86399999999998,123.17599999999999
178.00000994697422,131.48,117.63999999999999
180.0000099459215,130.096,128.712
182.00000994486882,146.70399999999998,132.86399999999998
184.00000994381608,139.784,132.86399999999998
186.00000994276337,143.93599999999998,141.16799999999998
188.00000994171066,153.624,161.928
190.00000994065795,170.232,153.624
192.00000993960526,190.992,181.30399999999997
194.0000099385525,186.83999999999997,186.83999999999997
196.0000099374998,181.30399999999997,182.688
198.0000099364471,179.92,181.30399999999997
200.00000993539442,173.0,174.384
202.00000993434168,164.696,171.61599999999999
204.00000993328896,167.464,163.31199999999998
206.00000993223625,177.152,173.0
208.00000993118357,166.07999999999998,173.0
210.0000099301308,167.464,170.232
212.00000992907812,170.232,155.00799999999998
214.0000099280254,156.392,159.16
216.0000099269727,141.16799999999998,149.47199999999998
218.00000992592,153.624,142.552
220.00000992486727,156.392,135.63199999999998
222.00000992381453,146.70399999999998,138.39999999999998
224.00000992276185,148.088,128.712
226.00000992170916,145.32,128.712
228.0000099206564,146.70399999999998,139.784
230.0000099196037,155.00799999999998,143.93599999999998
232.00000991855106,143.93599999999998,146.70399999999998
234.00000991749832,148.088,137.016
236.0000099164456,141.16799999999998,138.39999999999998
238.00000991539292,137.016,139.784
240.0000099143401,134.248,138.39999999999998
242.00000991328747,125.94399999999999,137.016
244.0000099122347,125.94399999999999,127.32799999999999
246.00000991118202,131.48,124.55999999999999
248.0000099101293,121.79199999999999,121.79199999999999
250.00000990907662,125.94399999999999,119.02399999999999
252.0000099080239,107.952,121.79199999999999
254.0000099069712,117.63999999999999,124.55999999999999
256.0000099059185,124.55999999999999,117.63999999999999
258.00000990486575,117.63999999999999,124.55999999999999
260.00000990381307,127.32799999999999,135.63199999999998
262.0000099027603,134.248,138.39999999999998
264.00000990170764,150.856,143.93599999999998
266.0000099006549,146.70399999999998,149.47199999999998
268.0000098996022,159.16,156.392
270.0000098985495,150.856,177.152
272.0000098974968,161.928,159.16
