Cluster size,frequency,foTM
1,0.7101421800947867,0.34054545454545454
2,0.13270142180094788,0.12727272727272726
3,0.05270142180094787,0.07581818181818183
4,0.028056872037914692,0.053818181818181814
5,0.02085308056872038,0.05
6,0.011943127962085309,0.03436363636363637
7,0.007014218009478673,0.023545454545454546
8,0.005497630331753554,0.02109090909090909
9,0.004360189573459716,0.018818181818181817
10,0.0037914691943127963,0.01818181818181818
11,0.0024644549763033177,0.013000000000000001
12,0.0015165876777251184,0.008727272727272728
13,0.002085308056872038,0.013000000000000001
14,0.0018957345971563982,0.012727272727272728
15,0.0013270142180094786,0.009545454545454546
16,0.0018957345971563982,0.014545454545454545
17,0.0013270142180094786,0.010818181818181817
18,0.002085308056872038,0.018
19,0.0007582938388625592,0.006909090909090909
20,0.0003791469194312796,0.0036363636363636364
21,0.0009478672985781991,0.009545454545454546
22,0.0005687203791469195,0.006
23,0.0003791469194312796,0.0041818181818181815
24,0.0005687203791469195,0.006545454545454545
25,0.0007582938388625592,0.00909090909090909
26,0.0003791469194312796,0.0047272727272727275
27,0.0001895734597156398,0.0024545454545454545
28,0.0001895734597156398,0.0025454545454545456
29,0.0005687203791469195,0.007909090909090909
30,0.0001895734597156398,0.0027272727272727275
36,0.0001895734597156398,0.0032727272727272726
37,0.0001895734597156398,0.003363636363636364
38,0.0001895734597156398,0.0034545454545454545
43,0.0001895734597156398,0.003909090909090909
44,0.0005687203791469195,0.012
52,0.0001895734597156398,0.0047272727272727275
56,0.0003791469194312796,0.010181818181818183
64,0.0001895734597156398,0.005818181818181818
115,0.0001895734597156398,0.010454545454545454
140,0.0001895734597156398,0.012727272727272728
